Name,formula,mz,mz_threshold,adducts,rt_max,rt_min,rt_peak
L-alanine,,90.06,15,,11.52,10.52,11.02
Ectoine,,143.0811,15,,10.41,9.41,9.91
DL-methionine sulfoxide,,166.0533,15,,12.48,11.48,11.98
L-carnitine,,162.1126,15,,9.97,8.97,9.47
5-oxo-L-proline,,130.0499,15,,10.5,9.5,10
|L-histidine|,,156.0767,15,,14.18,13.18,13.68
agmatine,,131.13,15,,14.21,13.21,13.71
<i>cis</i>-4-hydroxy-L-proline,,132.0653,15,,12.48,11.48,11.98
L-asparagine,,133.06,15,,13.09,12.09,12.59
creatine,,132.0768,15,,12.09,11.09,11.59
L-alanyl-L-proline,,187.1077446,15,,7.591263,6.591263,7.091263
L-ornithine,,133.1,15,,20.71,19.71,20.21
L-aspartate,,134.04,15,,14.53,13.53,14.03
tyramine,,138.0912,15,,2.63,1.63,2.13
L-homoserine,,120.0656,15,,11.84,10.84,11.34
Valyl-aspartate,,233.1133976,15,,3.0642514,2.0642514,2.5642514
Hypoxanthine,,137.045877,15,,5.4581645,4.4581645,4.9581645
adenine,,136.0617,15,,4.81,3.81,4.31
urocanate,,139.0504,15,,10.21,9.21,9.71
4-guanidinobutanoate,,146.0922,15,,11.89,10.89,11.39
L-glutamate,,148.0603,15,,14.28,13.28,13.78
pyridoxamine,,169.0947,15,,20.45,19.45,19.95
L-lysine,,147.1128,15,,20.51,19.51,20.01
|L-glutamine|,,147.0763,15,,12.56,11.56,12.06
L-alanyl-L-leucine,,203.1393,15,,7.11,6.11,6.61
glycyl-L-leucine,,189.1239589,15,,9.2286695,8.2286695,8.7286695
Asparaginyl-leucine,,246.1445626,15,,3.02670845,2.02670845,2.52670845
L-methionine,,150.0584,15,,8.93,7.93,8.43
N-methylanthranilic acid,,152.0708,15,,3.76,2.76,3.26
cyclic-AMP,,330.0605,15,,9.22,8.22,8.72
xanthine,,153.0406,15,,7.5,6.5,7
dopamine,,154.09,15,,2.68,1.68,2.18
L-phenylalanine,,166.0863,15,,7.84,6.84,7.34
aminoadipic acid,,162.0775,15,,14.39,13.39,13.89
tryptamine,,161.1081,15,,2.77,1.77,2.27
gamma glutamyl-leucine,,261.1431,15,,11.67,10.67,11.17
guanosine,,284.0986942,15,,9.0603944,8.0603944,8.5603944
|pyridoxine|,,170.0812,15,,3.15,2.15,2.65
guanine,,152.0565,15,,8.8,7.8,8.3
adenosine,,268.1039,15,,4.84,3.84,4.34
L-arginine,,175.119,15,,20.68,19.68,20.18
L-citrulline,,176.1029,15,,14,13,13.5
L-glucose,,181.0709,15,,11.46,10.46,10.96
<i>S</i>-methyl-5'-thioadenosine,,298.0968,15,,3,2,2.5
4-aminophenylalanine,,181.1,15,,9.91,8.91,9.41
|L-tyrosine|,,182.0813,15,,10.43,9.43,9.93
&alpha;-<i>N</i>-phenylacetyl-L-glutamine,,265.112,15,,8.38,7.38,7.88
L-leucyl-L-leucine,,245.1862,15,,4.61,3.61,4.11
1-18:0-2-18:2-phosphatidylcholine,,786.6005,15,,1.9,0.9,1.4
O-succinyl-L-homoserine,,220.0813,15,,10.94,9.94,10.44
DL-leucyl-DL-valine,,231.170156,15,,5.9384317,4.9384317,5.4384317
L-tryptophan,,205.0974,15,,8.91,7.91,8.41
(<i>R</i>)-pantothenate,,220.12,15,,8.09,7.09,7.59
D-fructosyl-L-lysine,,309.17,15,,22.09,21.09,21.59
biotin,,245.0954,15,,7.78,6.78,7.28
glutathione,,308.09,15,,19.07,18.07,18.57
8'-hydroxyabscisate,,281.1383,15,,1.83,0.83,1.33
"<i>N</i><sup>1</sup>,<i>N</i><sup>12</sup>-diacetylspermine",,287.2443,15,,7.43,6.43,6.93
L-cycloserine,,103.0547,15,,7.93,6.93,7.43
|L-valine|,,118.0865,15,,6.9,5.9,6.4
L-proline,,116.0709,15,,9.02,8.02,8.52
nicotinamide,,123.0553,15,,3.51,2.51,3.01
|L-isoleucine|,,132.102,15,,8.06,7.06,7.56
|L-leucine|,,132.102,15,,7.79,6.79,7.29
4-oxoproline,,130.0498,15,,14.22,13.22,13.72
dimethylglycine,,104.0705,15,,9.14,8.14,8.64
glycine betaine,,118.0862,15,,9.29,8.29,8.79
4-Aminobutanoate,,104.0705,15,,12.98,11.98,12.48
|L-serine|,,106.05,15,,13.11,12.11,12.61
|cytosine|,,112.0508,15,,6.54,5.54,6.04
creatinine,,114.0662,15,,5.62,4.62,5.12
<i>sn</i>-glycero-3-phosphocholine,,258.1133694,15,,2.9251164,1.9251164,2.4251164
nicotinate,,124.0395,15,,6.68,5.68,6.18
8-hydroxyquinoline,,146.0601,15,,3.53,2.53,3.03
<i>N</i><sup>6</sup>-acetyl-L-lysine,,189.12,15,,8.93,7.93,8.43
<i>N</i>-acetyl-L-ornithine,,175.1076,15,,11.05,10.05,10.55
inosine,,269.0875,15,,7.47,6.47,6.97
