name	description	inchi	inchi_key
"6H-Purin-6-imine, 1,9-dihydro-1-hydroxy-9-pentofuranosyl-, (6Z)-
(6Z)-6-Imino-9-pentofuranosyl-6,9-dihydro-1H-purin-1-ol
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C10H13N5O5/c11-8-5-9(13-3-15(8)19)14(2-12-5)10-7(18)6(17)4(1-16)20-10/h2-4,6-7,10-11,16-19H,1H2/b11-8-
"	QHFLZHVITNUFMV-FLIBITNWSA-N
"1,7,7-Trimethylbicyclo[2.2.1]heptane-2,6-dione
Bicyclo[2.2.1]heptane-2,6-dione, 1,7,7-trimethyl-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C10H14O2/c1-9(2)6-4-7(11)10(9,3)8(12)5-6/h6H,4-5H2,1-3H3/t6-,10+
"	PCEVUTCFZAQRKV-XGAOUMNUSA-N
"8H-2-Benzopyran-8-one, 3,4,4a,5,6,7-hexahydro-1-hydroxy-3-methyl-
1-Hydroxy-3-methyl-3,4,4a,5,6,7-hexahydro-8H-isochromen-8-one
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C10H14O3/c1-6-5-7-3-2-4-8(11)9(7)10(12)13-6/h6-7,12H,2-5H2,1H3
"	GQKAFRQIXWEJOJ-UHFFFAOYSA-N
"1,7,7-Trimethyltricyclo[2.2.1.0~2,6~]heptane
Tricyclo[2.2.1.0~2,6~]heptane, 1,7,7-trimethyl-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C10H16/c1-9(2)6-4-7-8(5-6)10(7,9)3/h6-8H,4-5H2,1-3H3/t6-,7?,8?,10+
"	RRBYUSWBLVXTQN-JYCPTSIYSA-N
"3-Aminopropanoyl 1-methyl-L-histidinate
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C10H16N4O3/c1-14-5-7(13-6-14)4-8(12)10(16)17-9(15)2-3-11/h5-6,8H,2-4,11-12H2,1H3
"	QAWKDPXGVJMDHM-UHFFFAOYSA-N
"1,3,3-Trimethyl-2-oxabicyclo[2.2.2]octane
2-Oxabicyclo[2.2.2]octane, 1,3,3-trimethyl-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C10H18O/c1-9(2)8-4-6-10(3,11-9)7-5-8/h8H,4-7H2,1-3H3/t8?,10-
"	WEEGYLXZBRQIMU-GDGYMVOYSA-N
"Methyl (2E)-2-[(1,4-dioxido-2-quinoxalinyl)methylene]hydrazinecarboxylate
Hydrazinecarboxylic acid, 2-[(1,4-dioxido-2-quinoxalinyl)methylene]-, methyl ester, (2E)-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C11H10N4O4/c1-19-11(16)13-12-6-8-7-14(17)9-4-2-3-5-10(9)15(8)18/h2-7H,1H3,(H,13,16)
"	OVGGLBAWFMIPPY-UHFFFAOYSA-N
"2,3,5,8-Tetrahydroxy-6-methyl-1,4-naphthoquinone
1,4-Naphthalenedione, 2,3,5,8-tetrahydroxy-6-methyl-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C11H8O6/c1-3-2-4(12)5-6(7(3)13)9(15)11(17)10(16)8(5)14/h2,12-13,16-17H,1H3
"	WXLPYHMWBMMBOS-UHFFFAOYSA-N
"3-Pyridinol, 6-methyl-2-(2-phenyldiazenyl)-
6-Methyl-2-(phenyldiazenyl)-3-pyridinol
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C12H11N3O/c1-9-7-8-11(16)12(13-9)15-14-10-5-3-2-4-6-10/h2-8,16H,1H3
"	LOCPVWIREQIGNQ-UHFFFAOYSA-N
"1-Methyl-4,9-dihydro-3H-beta-carboline
3H-Pyrido[3,4-b]indole, 4,9-dihydro-1-methyl-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C12H12N2/c1-8-12-10(6-7-13-8)9-4-2-3-5-11(9)14-12/h2-5,14H,6-7H2,1H3
"	CWOYLIJQLSNRRN-UHFFFAOYSA-N
"(1r,3R,5S,7r)-3,5-Dimethyl-1-adamantanamine
Tricyclo[3.3.1.1~3,7~]decan-1-amine, 3,5-dimethyl-, (3R,5S)-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C12H21N/c1-10-3-9-4-11(2,6-10)8-12(13,5-9)7-10/h9H,3-8,13H2,1-2H3/t9-,10+,11-,12-
"	BUGYDGFZZOZRHP-CDECOKDKSA-N
"2H-Pyrido[3,4-b]indole-1-carboxylic acid, methyl ester
Methyl 2H-beta-carboline-1-carboxylate
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C13H10N2O2/c1-17-13(16)12-11-9(6-7-14-12)8-4-2-3-5-10(8)15-11/h2-7,14H,1H3
"	JFTNFUWYCWYMKW-UHFFFAOYSA-N
"2-[(4-Hydroxyphenyl)diazenyl]benzoic acid
Benzoic acid, 2-[2-(4-hydroxyphenyl)diazenyl]-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C13H10N2O3/c16-10-7-5-9(6-8-10)14-15-12-4-2-1-3-11(12)13(17)18/h1-8,16H,(H,17,18)
"	DWQOTEPNRWVUDA-UHFFFAOYSA-N
"N-Methyl-2H-beta-carboline-3-carboxamide
2H-Pyrido[3,4-b]indole-3-carboxamide, N-methyl-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C13H11N3O/c1-14-13(17)11-6-9-8-4-2-3-5-10(8)16-12(9)7-15-11/h2-7,15H,1H3,(H,14,17)
"	LTODWURWNDCSOY-UHFFFAOYSA-N
"N'-(2-Hydroxybenzylidene)isonicotinohydrazide
4-Pyridinecarboxylic acid, 2-[(2-hydroxyphenyl)methylene]hydrazide
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C13H11N3O2/c17-12-4-2-1-3-11(12)9-15-16-13(18)10-5-7-14-8-6-10/h1-9,17H,(H,16,18)
"	VBIZUNYMJSPHBH-UHFFFAOYSA-N
"Furo[2,3-b]quinolin-7-ol, 4,8-dimethoxy-
4,8-Dimethoxyfuro[2,3-b]quinolin-7-ol
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C13H11NO4/c1-16-11-7-3-4-9(15)12(17-2)10(7)14-13-8(11)5-6-18-13/h3-6,15H,1-2H3
"	LJKPBWHZRNQEMO-UHFFFAOYSA-N
"3H-Pyrido[3,4-b]indole, 4,9-dihydro-6-methoxy-1-methyl-
6-Methoxy-1-methyl-4,9-dihydro-3H-beta-carboline
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C13H14N2O/c1-8-13-10(5-6-14-8)11-7-9(16-2)3-4-12(11)15-13/h3-4,7,15H,5-6H2,1-2H3
"	HMBHRMFLDKKSCT-UHFFFAOYSA-N
"(3R,4S)-8-Hydroxy-3,4,5-trimethyl-6-oxo-4,6-dihydro-3H-isochromene-7-carboxylic acid
3H-2-Benzopyran-7-carboxylic acid, 4,6-dihydro-8-hydroxy-3,4,5-trimethyl-6-oxo-, (3R,4S)-
"	From Fiehn Lab Chemical Translation Service http://cts.fiehnlab.ucdavis.edu/	"InChI=1S/C13H14O5/c1-5-7(3)18-4-8-9(5)6(2)11(14)10(12(8)15)13(16)17/h4-5,7,15H,1-3H3,(H,16,17)/t5-,7-/m1/s1
"	CQIUKKVOEOPUDV-IYSWYEEDSA-N
